DateTime,AddedIPs,RemovedIPs
1532186977,0,2
1532188858,1,1
1532196513,1,0
1532198474,1,1
1532200601,3,0
1532204655,1,1
1532208496,1,0
1532210433,2,1
1532212357,1,1
1532214526,0,2
1532216414,1,0
1532220267,3,1
1532222203,1,1
1532224095,3,2
1532229855,2,1
1532231796,0,2
1532235713,0,3
1532237808,1,3
1532239727,3,0
1532243567,0,1
1532249540,3,0
1532253380,0,2
1532255446,0,2
1532257464,1,5
1532259379,0,5
1532261311,2,0
1532267058,0,1
1532268981,0,2
1532270918,3,1
1532272825,1,0
1532278756,1,0
1532280745,1,1
1532282682,1,0
1532284572,1,0
1532286518,0,2
1532288425,2,4
1532290394,3,1
1532292295,2,2
1532294209,5,0
1532296118,1,1
1532298018,1,2
1532302120,3,0
1532304030,1,1
1532305959,4,1
1532307875,2,0
1532313634,2,1
1532315564,0,1
1532317500,2,0
1532321302,0,1
1532327115,0,1
1532329007,0,1
1532330898,1,2
1532332854,0,1
1532334755,0,1
1532336659,1,0
1532341425,6,1
1532343374,0,3
1532345318,5,1
1532347270,1,2
1532349141,1,0
1532351076,1,0
1532352984,0,1
1532355155,1,2
1532357067,0,2
1532359002,1,1
1532360902,2,0
1532362850,1,0
1532366899,1,1
1532368889,2,0
1532370764,2,1
1532372657,1,0
1532374578,0,2
1532376687,1,2
1532379763,3,5
1532381772,1,3
1532383979,0,2
1532385905,4,1
1532387799,0,3
1532389712,2,1
1532391637,3,1
1532393601,1,2
1532395500,0,1
1532397378,3,0
1532399328,2,2
1532401284,2,1
1532403148,11,1
1532405064,3,2
1532407009,2,0
1532410824,2,1
1532412760,1,1
1532416822,1,1
1532418766,1,0
1532420664,1,0
1532422893,0,1
1532424739,1,0
1532426676,0,5
1532430521,1,2
1532432414,2,2
1532434373,1,1
1532436259,1,1
1532438200,1,1
1532440120,1,0
1532444172,0,1
1532446102,1,1
1532448093,1,2
1532451866,2,0
1532453792,0,4
1532457618,1,2
1532459668,0,2
1532463612,0,1
1532465573,0,3
1532467458,2,0
1532469394,3,2
1532471299,1,1
1532473310,0,2
1532477091,4,3
1532478977,2,1
1532480930,3,1
1532482833,3,2
1532484770,4,0
1532486740,4,3
1532488584,0,2
1532490502,0,10
1532492430,0,1
1532494368,1,1
1532496265,2,2
1532498486,1,0
1532502259,0,2
1532506114,0,1
1532508037,0,1
1532511869,1,1
1532513785,4,0
1532515725,0,1
1532517619,1,1
1532519592,1,2
1532523401,1,1
1532525294,2,2
1532527300,3,1
1532529164,1,1
1532531344,1,0
1532533247,1,2
1532537315,1,1
1532539224,0,2
1532544984,1,2
1532547018,2,2
1532548890,0,1
1532550799,1,1
1532552676,2,1
1532554642,4,3
1532556514,4,2
1532558497,1,0
1532562301,2,0
1532564194,2,1
1532566145,2,2
1532568018,2,1
1532569989,0,2
1532571893,1,2
1532573819,1,1
1532575718,1,1
1532577733,1,0
1532581521,0,1
1532583404,0,2
1532585357,0,1
1532587237,1,0
1532589224,1,0
1532593044,0,1
1532594901,1,0
1532598985,1,1
1532600951,1,2
1532602848,0,1
1532604834,0,4
1532606681,0,2
1532608648,1,0
1532610534,0,2
1532612475,0,6
1532614350,0,1
1532616580,0,1
1532618437,1,1
1532622511,1,0
1532626365,1,1
1532630191,0,1
1532633594,2,3
1532635473,2,0
1532637664,1,2
1532639557,0,1
1532641506,2,4
1532643378,0,4
1532646403,2,0
1532648411,0,1
1532650248,3,2
1532654101,0,3
1532656362,4,1
1532658272,1,0
1532660176,1,0
1532662130,2,1
1532664060,1,1
1532673894,2,1
1532675787,0,2
1532677976,1,1
1532679874,1,1
1532683958,1,2
1532685880,1,0
1532689747,2,1
1532691634,1,1
1532693575,0,3
1532695466,3,1
1532697389,1,0
1532699320,3,1
1532701309,1,0
1532703341,1,0
1532705311,2,1
1532707215,1,0
1532709157,1,1
1532711334,2,1
1532713229,1,0
1532715164,2,0
1532717073,0,1
1532718998,0,2
1532720898,2,1
1532722829,1,1
1532724742,1,1
1532726681,2,2
1532728583,1,3
1532731567,1,1
1532733395,1,0
1532735439,2,1
1532737475,0,1
1532739297,2,0
1532741558,1,2
1532743481,1,3
1532745378,1,1
1532747331,1,2
1532749239,0,1
1532751166,0,1
1532753071,1,0
1532760757,1,1
1532762680,1,0
1532766506,2,2
1532768481,0,1
1532774913,1,1
1532778743,1,0
1532780654,1,0
1532782593,2,0
1532784492,4,1
1532786328,3,1
1532788421,1,1
1532790266,2,1
1532792173,0,3
1532794143,1,1
1532796037,0,2
1532797941,0,1
1532799854,0,2
1532801800,4,2
1532803697,2,0
1532805636,0,1
1532807778,1,1
1532810104,0,3
1532811917,2,0
1532813814,3,2
1532815715,1,0
1532817660,3,2
1532821469,1,1
1532823417,1,0
1532826099,0,2
1532827960,1,1
1532829864,1,0
1532833693,0,3
1532837786,1,2
1532839723,0,1
1532841627,1,1
1532845457,1,1
1532847405,1,0
1532851281,1,1
1532855068,0,1
1532856979,2,0
1532858918,2,1
1532860832,1,2
1532862763,2,0
1532868494,1,0
1532870450,2,4
1532872340,4,3
1532874263,0,2
1532876088,1,1
1532878366,0,2
1532880265,0,1
1532884154,0,2
1532886019,2,0
1532887959,1,1
1532889860,0,2
1532893718,2,1
1532895974,2,0
1532897816,2,2
1532899688,1,2
1532901876,0,4
1532903774,2,5
1532905731,2,2
1532909563,2,0
1532911455,1,0
1532913392,3,2
1532915308,0,1
1532917470,0,1
1532919695,1,0
1532921544,1,0
1532923478,2,1
1532925372,1,2
1532927332,3,1
1532931136,1,0
1532933075,0,1
1532934974,0,1
1532938821,1,1
1532942663,1,0
1532946501,2,0
1532948418,2,0
1532950337,0,2
1532952278,1,0
1532954179,0,1
1532956120,1,2
1532960195,1,1
1532962110,0,1
1532964022,1,0
1532965961,1,0
1532967870,1,0
1532969800,1,0
1532971724,2,0
1532973691,1,1
1532975552,1,2
1532977468,1,0
1532979400,2,1
1532981311,0,2
1532983261,1,1
1532987098,2,0
1532988982,0,2
1532990922,0,1
1532992848,1,1
1532994771,3,2
1532996678,3,1
1532998607,1,1
1533000514,0,3
1533002495,2,0
1533006275,2,0
1533010121,0,1
1533013975,0,2
1533017810,0,2
1533019709,0,1
1533025529,0,1
1533027400,1,0
1533031309,2,0
1533033419,0,3
1533035321,1,1
1533039170,1,0
1533043018,1,2
1533044931,5,0
1533046819,0,1
1533052764,0,1
1533054788,2,2
1533056921,1,1
1533058814,1,3
1533060768,3,2
1533064593,2,1
1533067156,2,1
1533069167,0,1
